"sample_id","taxa","NO_ORIGI","NO_BLOC","ring_year","ew_width","lw_width","lw_percentage","BAI","BAI_Ew","BAI_Lw","avg_density","ew_avg_density","lw_avg_density","period"
"782702","EPRxEPN","20908","11",2003,2.16,0.86,28.476821192053,110.056273840558,72.8799230150375,37.1763508255202,478.486754966887,448.7,553.3,"early"
"782702","EPRxEPN","20908","11",2004,2.71,0.39,12.5806451612903,172.573967646994,147.542699860987,25.0312677860074,462.46935483871,438,632.5,"early"
"782702","EPRxEPN","20908","11",2005,3.7,0.13,3.39425587467363,296.596191629086,285.01785190428,11.5783397248052,474.762924281984,474.6,479.4,"early"
"782702","EPRxEPN","20908","11",2006,3.86,0.51,11.6704805491991,450.989762589756,392.172550769982,58.8172118197735,436.687643020595,408.2,652.3,"early"
"782702","EPRxEPN","20908","11",2007,3.89,0.61,13.5555555555556,589.802604784948,502.396899817507,87.4057049674406,421.252888888889,398.1,568.9,"early"
"782702","EPRxEPN","20908","11",2008,2.78,0.45,13.9318885448916,501.78617420565,427.947751272002,73.8384229336477,392.199690402477,363.5,569.5,"early"
"782702","EPRxEPN","20908","11",2009,2.87,0.55,16.0818713450292,602.752249703044,500.85940437284,101.892845330205,398.89649122807,360.3,600.3,"early"
"782702","EPRxEPN","20908","11",2010,2.75,0.5,15.3846153846154,640.892755313952,537.97417998235,102.918575331602,423.438461538462,388.1,617.8,"early"
"782702","EPRxEPN","20908","11",2011,2.55,0.38,12.9692832764505,634.675543452498,549.318471054463,85.3570723980347,435.596928327645,411.5,597.3,"late"
"782702","EPRxEPN","20908","11",2012,2.97,0.52,14.8997134670487,826.368615670709,698.390184059952,127.978431610757,414.694842406877,375.3,639.7,"late"
"782702","EPRxEPN","20908","11",2013,2.62,0.34,11.4864864864865,760.853528313482,670.65965986598,90.1938684475015,390.693243243243,365.4,585.6,"late"
"782702","EPRxEPN","20908","11",2014,1.92,0.2,9.43396226415094,578.76933138554,522.962079487171,55.8072518983691,380.564150943396,358.3,594.3,"late"
"782702","EPRxEPN","20908","11",2015,1.34,0.18,11.8421052631579,432.348494261151,380.391578319021,51.9569159421294,407.590789473684,372.1,671.8,"late"
"782702","EPRxEPN","20908","11",2016,1.35,0.28,17.1779141104295,479.767379615168,396.16582919196,83.6015504232087,410.106748466258,366.2,621.8,"late"
"782702","EPRxEPN","20908","11",2017,1.91,0.28,12.7853881278539,670.877372236875,583.422972583303,87.4543996535712,389.000913242009,349.2,660.5,"late"
"782702","EPRxEPN","20908","11",2018,1.6,0.36,18.3673469387755,625.973645961319,509.189337293834,116.784308667486,397.589795918367,359.9,565.1,"late"
"782702","EPRxEPN","20908","11",2019,1.8,0.39,17.8082191780822,727.982101901176,596.136055574585,131.846046326591,390.195890410959,353.6,559.1,"late"
"782704","EPN","20914","11",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,"early"
"782704","EPN","20914","11",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,"early"
"782704","EPN","20914","11",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,"early"
"782704","EPN","20914","11",2006,5.83,0.69,10.5828220858896,782.867296355716,687.380158446181,95.487137909535,461.899846625767,436.3,678.2,"early"
"782704","EPN","20914","11",2007,3.38,1.1,24.5535714285714,692.73877303541,510.966222098704,181.772550936705,475.867857142857,419.1,650.3,"early"
"782704","EPN","20914","11",2008,4.5,0.56,11.0671936758893,934.075920684177,822.783115975167,111.292804709011,439.528853754941,407.6,696.1,"early"
"782704","EPN","20914","11",2009,3.25,0.26,7.40740740740741,742.447251115366,684.796512647869,57.6507384674956,357.718518518519,333.8,656.7,"early"
"782704","EPN","20914","11",2010,2.35,0.34,12.639405204461,621.39351803165,540.342940843157,81.0505771884938,417.188475836431,379.7,676.3,"early"
"782704","EPN","20914","11",2011,2.23,0.42,15.8490566037736,656.610143359861,549.601214393286,107.008928966576,389.691698113208,344.3,630.7,"late"
"782704","EPN","20914","11",2012,2.42,0.42,14.7887323943662,752.670307769411,638.166795368432,114.503512400979,398.654929577465,352.1,666.9,"late"
"782704","EPN","20914","11",2013,1.64,0.44,21.1538461538462,583.401295593995,457.722509805664,125.678785788329,379.569230769231,310.1,638.5,"late"
"782704","EPN","20914","11",2014,1.74,0.36,17.1428571428571,616.587823749455,508.919160325625,107.668663423829,383.82,341.1,590.3,"late"
"782704","EPN","20914","11",2015,1.59,0.3,15.8730158730159,578.620105734492,485.277104811035,93.3430009234599,409.471428571429,359.9,672.2,"late"
"782704","EPN","20914","11",2016,1.22,0.4,24.6913580246914,513.823814776411,385.420639838887,128.403174937522,428.833333333333,339.5,701.3,"late"
"782704","EPN","20914","11",2017,1.16,0.22,15.9420289855072,450.707961728727,378.05423338475,72.653728343979,371.697101449275,297.2,764.5,"late"
"782704","EPN","20914","11",2018,0.77,0.36,31.858407079646,377.968467905308,256.682885283758,121.285582621549,425.673451327434,291.9,711.8,"late"
"782704","EPN","20914","11",2019,0.88,0.3,25.4237288135593,403.256089651847,299.90397453405,103.352115117797,411.540677966102,314.6,695.9,"late"
"782705","EPN","20914","11",2003,1.2,0.65,35.1351351351351,44.1126732453812,26.1631836190958,17.9494896262853,561.318918918919,531.7,616,"early"
"782705","EPN","20914","11",2004,2.28,0.55,19.434628975265,109.088977462517,83.948382252165,25.1405952103523,518.080565371025,479.6,677.6,"early"
"782705","EPN","20914","11",2005,3.41,0.59,14.75,240.01767873426,198.2945008612,41.7231778730607,493.11475,469.5,629.6,"early"
"782705","EPN","20914","11",2006,3.6,0.58,13.8755980861244,358.237066925906,301.969885863051,56.2671810628546,447.44019138756,419.8,619,"early"
"782705","EPN","20914","11",2007,4.28,0.36,7.75862068965517,526.229335846904,480.560631760201,45.6687040867041,423.675862068966,406.7,625.5,"early"
"782705","EPN","20914","11",2008,4.88,0.9,15.5709342560554,844.729025616084,699.39894946102,145.330076155064,423.506574394464,396.6,569.4,"early"
"782705","EPN","20914","11",2009,2.83,0.73,20.5056179775281,624.742141641112,490.144688468507,134.597453172605,403.432584269663,350.2,609.8,"early"
"782705","EPN","20914","11",2010,2.09,0.61,22.5925925925926,526.920486230695,403.870271015624,123.05021521507,418.794814814815,367.6,594.2,"early"
"782705","EPN","20914","11",2011,1.47,0.39,20.9677419354839,389.635400542943,306.136580199507,83.4988203434363,413.366129032258,360.8,611.5,"late"
"782705","EPN","20914","11",2012,3.44,0.42,10.880829015544,877.962049342818,777.893526866553,100.068522476265,420.49481865285,398.2,603.1,"late"
"782705","EPN","20914","11",2013,1.74,0.65,27.1966527196653,590.536166669561,426.376954945207,164.159211724354,395.30460251046,335.2,556.2,"late"
"782705","EPN","20914","11",2014,0.98,0.4,28.9855072463768,357.323491782243,252.519960858486,104.803530923756,477.1,433.1,584.9,"late"
"782705","EPN","20914","11",2015,2.23,0.52,18.9090909090909,747.73832146254,602.704811653976,145.033509808565,427.046181818182,391.1,581.2,"late"
"782705","EPN","20914","11",2016,1.47,0.43,22.6315789473684,544.37517501404,419.188676794528,125.186498219511,425.456315789474,377.5,589.4,"late"
"782705","EPN","20914","11",2017,1.32,0.58,30.5263157894737,567.057473972956,391.550515424572,175.506958548386,418.128421052632,355,561.8,"late"
"782705","EPN","20914","11",2018,1.32,0.05,3.64963503649635,422.952304793528,407.308744174978,15.6435606185504,446.327737226277,445.2,476.1,"late"
"782705","EPN","20914","11",2019,0.78,0.35,30.9734513274336,357.733469623535,246.07341273332,111.660056890215,402.343362831858,363.1,489.8,"late"
"782706","EPNxEPR","20903","11",2003,1.88,0.17,8.29268292682927,46.3055049175869,41.4614832050166,4.8440217125701,557.446829268293,561.9,508.2,"early"
"782706","EPNxEPR","20903","11",2004,2.64,0.11,4,103.58616377049,98.5303987130674,5.05576505742205,481.58,481.9,473.9,"early"
"782706","EPNxEPR","20903","11",2005,3,0.7,18.9189189189189,214.344583569124,167.195561024049,47.1490225450756,483.2,442.6,657.2,"early"
"782706","EPNxEPR","20903","11",2006,4.1,0.6,12.7659574468085,396.305630065045,337.985104043804,58.3205260212409,504.33829787234,479.1,676.8,"early"
"782706","EPNxEPR","20903","11",2007,4.26,0.54,11.25,547.994289750975,479.118012413672,68.8762773373026,448.535,422.3,655.5,"early"
"782706","EPNxEPR","20903","11",2008,4.1,0.5,10.8695652173913,661.003660685907,582.715171758449,78.2884889274576,436.867391304348,404.4,703.1,"early"
"782706","EPNxEPR","20903","11",2009,4.25,0.82,16.1735700197239,882.563540102531,728.873057577734,153.690482524797,415.194674556213,369.1,654.1,"early"
"782706","EPNxEPR","20903","11",2010,4.44,0.67,13.1115459882583,1052.95158758116,905.547746115459,147.403841465698,427.114872798434,394.1,645.9,"early"
"782706","EPNxEPR","20903","11",2011,3.24,0.08,2.40963855421687,772.035084886139,752.617529012831,19.4175558733078,423.951807228916,421.4,527.3,"late"
"782706","EPNxEPR","20903","11",2012,3.02,0.69,18.5983827493261,944.66277376751,762.424324640277,182.238449127233,439.27115902965,388.2,662.8,"late"
"782706","EPNxEPR","20903","11",2013,2.31,0.55,19.2307692307692,787.261756159558,631.873871124026,155.387885035532,402.557692307692,357.5,591.8,"late"
"782706","EPNxEPR","20903","11",2014,1.44,0.57,28.3582089552239,584.037468106344,415.836283273882,168.201184832463,418.383582089552,344,606.3,"late"
"782706","EPNxEPR","20903","11",2015,1.59,0.46,22.4390243902439,621.807579943395,479.982264552675,141.825315390719,422.263902439024,359.3,639.9,"late"
"782706","EPNxEPR","20903","11",2016,1.2,0.48,28.5714285714286,529.265370987334,376.237136193914,153.02823479342,438.942857142857,362.6,629.8,"late"
"782706","EPNxEPR","20903","11",2017,0.91,0.35,27.7777777777778,408.586744066458,294.089829010052,114.496915056407,430.766666666667,350.1,640.5,"late"
"782706","EPNxEPR","20903","11",2018,0.65,0.44,40.3669724770642,361.507150719029,214.679163186732,146.827987532295,453.947706422018,325.5,643.7,"late"
"782706","EPNxEPR","20903","11",2019,0.54,0.24,30.7692307692308,263.275517467314,181.860515531006,81.4150019363102,413.630769230769,348.4,560.4,"late"
"782707","EPNxEPR","20903","11",2003,2.93,0.12,3.9344262295082,120.635587101521,114.784684943476,5.85090215804563,469.57737704918,468.7,491,"early"
"782707","EPNxEPR","20903","11",2004,3.2,0.78,19.5979899497487,245.319430496458,189.400337899621,55.9190925968369,450.788442211055,408.3,625.1,"early"
"782707","EPNxEPR","20903","11",2005,4.64,0.78,14.3911439114391,494.136081934893,411.654195133424,82.4818868014693,477.177490774908,447.1,656.1,"early"
"782707","EPNxEPR","20903","11",2006,5.92,0.61,9.34150076569678,840.483163144757,750.624502633394,89.8586605113635,431.461255742726,410.2,637.8,"early"
"782707","EPNxEPR","20903","11",2007,6.85,0.82,10.6910039113429,1329.37718357787,1169.60709094985,159.770092628024,406.422555410691,380.7,621.3,"early"
"782707","EPNxEPR","20903","11",2008,5.37,0.48,8.2051282051282,1262.40659634423,1150.7267474203,111.679848923933,370.038974358974,341.6,688.2,"early"
"782707","EPNxEPR","20903","11",2009,3.04,0.78,20.4188481675393,940.389265280834,740.923264519108,199.466000761723,407.458638743455,342.2,661.8,"early"
"782707","EPNxEPR","20903","11",2010,4.33,0.66,13.2264529058116,1366.52463175098,1176.80385140069,189.720780350288,375.515631262525,339.5,611.8,"early"
"782707","EPNxEPR","20903","11",2011,2.31,0.28,10.8108108108108,770.95469117257,685.57625594449,85.3784352280791,324.854054054054,296.4,559.6,"late"
"782707","EPNxEPR","20903","11",2012,1.96,0.63,24.3243243243243,813.10292653166,611.441894982874,201.661031548786,387.937837837838,314.6,616.1,"late"
"782707","EPNxEPR","20903","11",2013,2.13,0.26,10.8786610878661,787.706919838571,700.275139652106,87.4317801864654,350.47949790795,325.6,554.3,"late"
"782707","EPNxEPR","20903","11",2014,1.66,0.29,14.8717948717949,669.277044939134,568.231172988339,101.045871950797,345.284615384615,314.5,521.5,"late"
"782707","EPNxEPR","20903","11",2015,1.85,0.6,24.4897959183673,874.752912447178,657.040541553403,217.712370893773,351.902040816326,312.4,473.7,"late"
"782707","EPNxEPR","20903","11",2016,1.59,0.34,17.6165803108808,715.648209143182,587.877122647563,127.77108649562,374.582383419689,340.6,533.5,"late"
"782707","EPNxEPR","20903","11",2017,1.12,0.37,24.8322147651007,568.504177389936,426.03012311625,142.474054273685,363.151006711409,307.8,530.7,"late"
"782707","EPNxEPR","20903","11",2018,0.87,0.31,26.271186440678,460.122686593007,338.395710203628,121.726976389378,347.724576271186,294,498.5,"late"
"782707","EPNxEPR","20903","11",2019,0.87,0.33,27.5,476.893764814931,344.846028239979,132.047736574952,340.96,278.7,505.1,"late"
"782708","EPNxEPR","20903","11",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,"early"
"782708","EPNxEPR","20903","11",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,"early"
"782708","EPNxEPR","20903","11",2005,4.35,1.5,25.6410256410256,614.754704436085,436.626400977543,178.128303458541,421.294871794872,365.5,583.1,"early"
"782708","EPNxEPR","20903","11",2006,4.64,1.33,22.2780569514238,849.052799585219,640.512936762133,208.539862823087,407.854773869347,346.1,623.3,"early"
"782708","EPNxEPR","20903","11",2007,5.67,0.73,11.40625,1158.92096353866,1013.72817498256,145.192788556102,403.04828125,373.7,631,"early"
"782708","EPNxEPR","20903","11",2008,4.27,0.73,14.6,1084.4777840192,916.351369091889,168.126414927307,430.6122,388.9,674.6,"early"
"782708","EPNxEPR","20903","11",2009,4.12,0.08,1.9047619047619,1032.35247871083,1011.65315303486,20.6993256759724,419.406666666667,418.7,455.8,"early"
"782708","EPNxEPR","20903","11",2010,3.27,0.51,13.4920634920635,1023.8814882797,880.499513729122,143.381974550573,386.093650793651,356.6,575.2,"early"
"782708","EPNxEPR","20903","11",2011,2.11,0.39,15.6,726.49330114264,610.575129569749,115.918171572891,334.7612,296.9,539.6,"late"
"782708","EPNxEPR","20903","11",2012,2.5,0.45,15.2542372881356,907.771051236406,765.763209312512,142.007841923893,352.645762711864,315.7,557.9,"late"
"782708","EPNxEPR","20903","11",2013,2.56,0.33,11.4186851211073,942.330455381485,832.074690407424,110.255764974061,332.775778546713,308.1,524.2,"late"
"782708","EPNxEPR","20903","11",2014,2.49,0.42,14.4329896907216,1001.87557421909,853.98949828107,147.886075938024,341.924742268041,307.3,547.2,"late"
"782708","EPNxEPR","20903","11",2015,2.73,0.34,11.0749185667752,1114.6367593344,988.275619621705,126.361139712689,367.571009771987,338.3,602.6,"late"
"782708","EPNxEPR","20903","11",2016,2.93,0.52,15.0724637681159,1323.27181241488,1119.03561736795,204.236195046934,399.571884057971,365.9,589.3,"late"
"782708","EPNxEPR","20903","11",2017,2.55,0.66,20.5607476635514,1298.38097382049,1026.13683764571,272.244136174784,372.883177570093,320.7,574.5,"late"
